geocoded_address,geocoded_city,geocoded_state,geocoded_zipcode,geocoded_latitude,geocoded_longitude
31,324 Yorkshire Cir,Nashville,TN,37211,-86.72587,36.045174
32,,,,,,
33,152 Tusculum Rd,Antioch,TN,37013,-86.69066,36.053463
34,2321 Green Trails Ct,Antioch,TN,37013,-86.70156,36.041298
35,641 Old Hickory Blvd,Brentwood,TN,37027,-86.76698,36.040134
36,641 Old Hickory Blvd,Brentwood,TN,37027,-86.76698,36.040134
37,601 Old Hickory Blvd,Brentwood,TN,37027,-86.76563,36.039986
38,835 Barrington Place Dr,Brentwood,TN,37027,-86.7538,36.038406
39,5834 Petersburg Dr,Brentwood,TN,37027,-86.758026,36.030697
40,6140 Bradford Hills Dr,Nashville,TN,37211,-86.72122,36.024654
41,,,,,,
42,,,,,,
43,2601 Polo Ct,Nashville,TN,37211,-86.73006,36.01922
44,4050 Bryce Rd,Nashville,TN,37211,-86.73064,36.0201
45,5224 Ridgefalls Way,Antioch,TN,37013,-86.67823,36.03333
46,5457 Oak Chase Dr,Antioch,TN,37013,-86.67805,36.032562
47,2116 Skyglen Trce,Antioch,TN,37013,-86.67926,36.029022
48,3045 Bluffhollow Gap,Antioch,TN,37013,-86.67776,36.029987
49,3040 Bluffhollow Gap,Antioch,TN,37013,-86.676926,36.029602
50,3036 Bluffhollow Gap,Antioch,TN,37013,-86.677086,36.029697
51,7341 Althorp Way,Nashville,TN,37211,-86.7111,36.024914
52,7722 Porter House Dr,Nashville,TN,37211,-86.710045,36.024063
53,7722 Porter House Dr,Nashville,TN,37211,-86.710045,36.024063
54,708 Adams Mill Ct,Nashville,TN,37211,-86.702576,36.017857
55,608 Sitting Mill Ct,Nashville,TN,37211,-86.70199,36.01708
56,4105 Barnes Cove Ct,Antioch,TN,37013,-86.70231,36.026684
57,4116 Barnes Cove Ct,Antioch,TN,37013,-86.702095,36.026726
58,4117 Barnes Cove Ct,Antioch,TN,37013,-86.7021,36.026737
59,136 Blackpool Dr,Antioch,TN,37013,-86.69074,36.023743
60,905 Springs Hill Way,Antioch,TN,37013,-86.68922,36.01864
61,1085 Shire Dr,Antioch,TN,37013,-86.66736,36.033463
62,1245 Beech Hollow Dr,Nashville,TN,37211,-86.73348,36.011852
63,3071 Brookview Forest Dr,Nashville,TN,37211,-86.71261,36.01677
64,3541 Fair Meadows Dr,Nashville,TN,37211,-86.7097,36.01691
65,3149 Brookview Forest Dr,Nashville,TN,37211,-86.710464,36.018486
66,7349 Sugarloaf Dr,Nashville,TN,37211,-86.69916,36.01928
67,,,,,,
68,7660 Mint Leaf Dr,Nashville,TN,37211,-86.69147,36.014637
69,,,,,,
70,,,,,,
71,6528 Broken Bow Dr,Antioch,TN,37013,-86.67927,36.01323
72,7457 Stecoah St,Antioch,TN,37013,-86.68646,36.010826
73,7432 Stecoah St,Antioch,TN,37013,-86.68479,36.01117
74,,,,,,
75,449 High Point Ter,Brentwood,TN,37027,-86.6951,36.003693
76,9132 Carissa Dr,Brentwood,TN,37027,-86.68673,36.00734
77,7113 Legacy Dr,Antioch,TN,37013,-86.652695,36.007736
78,8505 Lawson Dr,Antioch,TN,37013,-86.64876,36.00873
79,8461 Lawson Dr,Antioch,TN,37013,-86.64775,36.008347
80,7229 Smokey Hill Rd,Antioch,TN,37013,-86.631454,36.00611
81,,,,,,
82,7204 Smokey Hill Rd,Antioch,TN,37013,-86.63188,36.007214
83,212 Foxley Ct,Nolensville,TN,37135,-86.67124,35.98757
84,408 Eastboro Dr,Nashville,TN,37209,-86.86744,36.148438
85,5202 Park Ave,Nashville,TN,37209,-86.84996,36.150887
86,4306 Dakota Ave,Nashville,TN,37209,-86.8383,36.147747
87,804 Lena St,Nashville,TN,37208,-86.817924,36.16048
88,729 25Th Ave N,Nashville,TN,37208,-86.81399,36.160114
89,732 25Th Ave N,Nashville,TN,37208,-86.81401,36.16024
90,2320 Batavia St,Nashville,TN,37208,-86.81082,36.16119
91,2318 Batavia St,Nashville,TN,37208,-86.81084,36.161186
92,410 37Th Ave N,Nashville,TN,37209,-86.82886,36.15337
93,2822 Georgia Ave,Nashville,TN,37209,-86.8207,36.157158
94,333 Chamberlin St,Nashville,TN,37209,-86.82953,36.14938
95,900 19Th Ave S,Nashville,TN,37212,-86.796005,36.148693
96,900 20Th Ave S,Nashville,TN,37212,-86.79793,36.148678
97,900 20Th Ave S,Nashville,TN,37212,-86.79793,36.148678
98,1510 Demonbreun St,Nashville,TN,37203,-86.78891,36.153355
99,6680 Charlotte Pike,Nashville,TN,37209,-86.88286,36.137276
100,6680 Charlotte Pike,Nashville,TN,37209,-86.88286,36.137276
101,5514 Bon Air Cir,Nashville,TN,37209,-86.8523,36.141514
102,4902 Idaho Ave,Nashville,TN,37209,-86.84581,36.146473
103,4208 Aberdeen Rd,Nashville,TN,37205,-86.839836,36.136597
104,815 Neartop Dr,Nashville,TN,37205,-86.859406,36.133118
105,4500 Post Rd,Nashville,TN,37205,-86.85204,36.127884
106,4500 Post Rd,Nashville,TN,37205,-86.85204,36.127884
107,4225 Harding Pike,Nashville,TN,37205,-86.843544,36.12775
108,4225 Harding Pike,Nashville,TN,37205,-86.843544,36.12775
109,3608 Nebraska Ave,Nashville,TN,37209,-86.82709,36.14274
110,3606 Nebraska Ave,Nashville,TN,37209,-86.827065,36.142742
111,,,,,,
112,3340 Acklen Ave,Nashville,TN,37212,-86.81802,36.137318
113,3415 W End Ave,Nashville,TN,37203,-86.81938,36.13907
114,3725 Princeton Ave,Nashville,TN,37205,-86.83151,36.136597
115,2608 Essex Pl,Nashville,TN,37212,-86.80977,36.13239
116,2124 Fairfax Ave,Nashville,TN,37212,-86.80284,36.134335
117,401 Bowling Ave,Nashville,TN,37205,-86.82631,36.12667
118,2922 Westmoreland Dr,Nashville,TN,37212,-86.81517,36.130272
119,1113 Wade Ave,Nashville,TN,37203,-86.786835,36.136673
120,924 Wedgewood Ave,Nashville,TN,37203,-86.784096,36.134804
121,1406 Elmwood Ave,Nashville,TN,37212,-86.7911,36.126614
122,924 Waldkirch Ave,Nashville,TN,37204,-86.78534,36.126717
123,918 Waldkirch Ave,Nashville,TN,37204,-86.78498,36.126686
124,,,,,,
125,807 Hillview Hts,Nashville,TN,37204,-86.77929,36.126522
126,,,,,,
127,,,,,,
128,,,,,,
129,818 S Wilson Blvd,Nashville,TN,37215,-86.83383,36.120758
130,5937 Long Meadow Rd,Nashville,TN,37205,-86.86838,36.110306
131,104 Lincoln Ct,Nashville,TN,37205,-86.865364,36.103065
132,717 Cantrell Ave,Nashville,TN,37215,-86.83212,36.120632
133,3000 Hillsboro Pike,Nashville,TN,37215,-86.80757,36.12123
134,2601 Hillsboro Pike,Nashville,TN,37212,-86.806366,36.124195
135,143 Hillsboro Pl,Nashville,TN,37215,-86.806984,36.12042
136,2701 Oakland Ave,Nashville,TN,37212,-86.795944,36.12367
137,110 Hampton Pl,Nashville,TN,37215,-86.810455,36.11578
138,208 Stokesboro Ct,Nashville,TN,37215,-86.80308,36.117256
139,2067 Stokes Ln,Nashville,TN,37215,-86.808235,36.119217
140,2205 Woodmont Blvd,Nashville,TN,37215,-86.8142,36.114277
141,1490 Clairmont Pl,Nashville,TN,37215,-86.79651,36.111446
142,1900 Richard Jones Rd,Nashville,TN,37215,-86.80793,36.104263
143,401 Glen West Dr,Nashville,TN,37215,-86.80744,36.106853
144,1105 Gilmore Ave,Nashville,TN,37204,-86.78814,36.1246
145,2406 9Th Ave S,Nashville,TN,37204,-86.78353,36.12484
146,2813 W Kirkwood Ave,Nashville,TN,37204,-86.78151,36.12209
147,3514 Wilbur Pl,Nashville,TN,37204,-86.78134,36.109898
148,413 Cedar Forest Dr,Nashville,TN,37221,-86.93024,36.1024
149,413 Cedar Forest Dr,Nashville,TN,37221,-86.93024,36.1024
150,620 Hicks Rd,Nashville,TN,37221,-86.93785,36.088097
151,645 Hicks Rd,Nashville,TN,37221,-86.93841,36.090378
152,320 Old Hickory Blvd,Nashville,TN,37209,-86.886566,36.14215
153,,,,,,
154,158 Westfield Dr,Nashville,TN,37221,-86.947495,36.084118
155,214 Westfield Dr,Nashville,TN,37221,-86.94558,36.084427
156,937 Neuhoff Ln,Nashville,TN,37205,-86.8843,36.089012
157,435 Siena Dr,Nashville,TN,37205,-86.88831,36.088287
158,,,,,,
159,912 Percy Warner Blvd,Nashville,TN,37205,-86.8841,36.083588
160,127 Heady Dr,Nashville,TN,37205,-86.87009,36.097614
161,4328 Estes Rd,Nashville,TN,37215,-86.839,36.09788
162,106 Wellington Park Ct,Nashville,TN,37215,-86.834526,36.092075
163,1203 Nichol Ln,Nashville,TN,37205,-86.86699,36.090137
164,917 Westview Ave,Nashville,TN,37205,-86.852684,36.08905
165,6 Northumberland,Nashville,TN,37215,-86.83577,36.091076
166,1214 Forrest Park Dr,Nashville,TN,37205,-86.87162,36.08597
167,4210 Hillsboro Pike,Nashville,TN,37215,-86.81921,36.10053
168,4400 Belmont Park Ter,Nashville,TN,37215,-86.80584,36.09696
169,105 Westover Park Ct,Nashville,TN,37215,-86.80944,36.10048
170,,,,,,
171,1813 Shackleford Rd,Nashville,TN,37215,-86.80757,36.101868
172,1122 Woodvale Dr,Nashville,TN,37204,-86.796074,36.102215
173,152 Jefferson Sq,Nashville,TN,37215,-86.8285,36.097054
174,2013 Castleman Dr,Nashville,TN,37215,-86.8145,36.09702
175,,,,,,
176,4704 Villa Green Dr,Nashville,TN,37215,-86.81698,36.0833
177,1007 Stonewall Dr,Nashville,TN,37220,-86.791916,36.085686
178,4302 Gray Oaks Dr,Nashville,TN,37204,-86.78888,36.095596
179,213 Brattlesboro Pl,Nashville,TN,37204,-86.787926,36.089516
180,1245 Scarcroft Ln,Nashville,TN,37221,-86.99176,36.075047
181,548 Wolfeboro Ln,Nashville,TN,37221,-86.99476,36.07556
182,809 Bay Cove Ct,Nashville,TN,37221,-86.962135,36.066437
183,1204 Brenner Dr,Nashville,TN,37221,-86.95889,36.06416
184,810 Bellevue Rd,Nashville,TN,37221,-86.94059,36.07252
185,810 Todd Preis Dr,Nashville,TN,37221,-86.942024,36.06892
186,844 Todd Preis Dr,Nashville,TN,37221,-86.943634,36.069145
187,828 Todd Preis Dr,Nashville,TN,37221,-86.94308,36.069027
188,,,,,,
189,9135 Sawyer Brown Rd,Nashville,TN,37221,-86.94611,36.06353
190,933 Glenridge Ct,Nashville,TN,37221,-86.95082,36.05914
191,718 Harpeth Trace Dr,Nashville,TN,37221,-86.89429,36.076515
192,727 Harpeth Trace Dr,Nashville,TN,37221,-86.89486,36.07523
193,,,,,,
194,,,,,,
195,6120 Hillsboro Pike,Nashville,TN,37215,-86.84988,36.062233
196,5848 E Ashland Dr,Nashville,TN,37215,-86.82765,36.066433
197,8028 Poplar Wood Rd,Nashville,TN,37221,-86.97263,36.054974
198,6912 Collinswood Dr,Nashville,TN,37221,-86.96122,36.049755
199,,,,,,
200,613 Indian Ridge Dr,Nashville,TN,37221,-86.97622,36.043987
201,5029 Stonemeade Dr,Nashville,TN,37221,-86.96648,36.042492
202,2001 Cromwell Dr,Nashville,TN,37215,-86.85067,36.056736
203,340 White Swans Crossing,Brentwood,TN,37027,-86.84796,36.046837
204,,,,,,
205,,,,,,
206,824 Redwood Dr,Nashville,TN,37220,-86.77917,36.056606
207,5338 Green Valley Ct,Nashville,TN,37220,-86.78401,36.051968
208,,,,,,
209,2107 12Th Ave N,Nashville,TN,37208,-86.808266,36.185917
210,2307 Lacy St,Nashville,TN,37208,-86.814514,36.18318
211,1817 Cephas St,Nashville,TN,37208,-86.805855,36.1808
212,1902 Heiman St,Nashville,TN,37208,-86.81006,36.17105
213,1710 Scovel St,Nashville,TN,37208,-86.80596,36.17071
214,6374 Ivy St,Nashville,TN,37209,-86.87464,36.15431
215,509 Achievement Dr,Nashville,TN,37209,-86.88171,36.148876
216,6015 Louisiana Ave,Nashville,TN,37209,-86.8608,36.163425
217,4806 Kentucky Ave,Nashville,TN,37209,-86.8453,36.15999
218,5200 Tennessee Ave,Nashville,TN,37209,-86.85052,36.16095
219,1030 43Rd Ave N,Nashville,TN,37209,-86.83891,36.162292
220,1000 42Nd Ave N,Nashville,TN,37209,-86.837776,36.161472
221,4503 Michigan Ave,Nashville,TN,37209,-86.84137,36.158997
222,6361 Alamo Pl,Nashville,TN,37209,-86.87374,36.153164
223,711 32Nd Ave N,Nashville,TN,37209,-86.82371,36.158337
224,1736 Haleys Hope Ct,Nashville,TN,37209,-86.93115,36.118378
225,7277 Charlotte Pike,Nashville,TN,37209,-86.91695,36.120937
226,8145 Settlers Way,Nashville,TN,37221,-87.01213,36.085564
227,8220 Canoe Ct,Nashville,TN,37221,-87.01321,36.088726
228,401 Trace Ct,Nashville,TN,37221,-87.008896,36.085526
229,7536 Woodstream Dr,Nashville,TN,37221,-87.00205,36.090015
230,925 Falling Water Ct,Nashville,TN,37221,-87.003174,36.089325
231,7426 Huntwick Trl,Nashville,TN,37221,-86.98373,36.093758
232,2101 Richmond Hill Dr,Nashville,TN,37207,-86.79218,36.236225
233,3348 Brome Ln,Nashville,TN,37218,-86.86336,36.218174
234,3353 Brome Ln,Nashville,TN,37218,-86.863205,36.218212
235,4101 Timothy Dr,Nashville,TN,37218,-86.84458,36.214035
236,3844 Cravath Dr,Nashville,TN,37207,-86.81157,36.22088
237,726 Ringgold Dr,Nashville,TN,37207,-86.812546,36.218155
238,3602 W Hamilton Rd,Nashville,TN,37218,-86.83978,36.208355
239,2816 Buena Vista Pike,Nashville,TN,37218,-86.81909,36.209015
240,1825 Meade Ave,Nashville,TN,37207,-86.78608,36.20461
241,3239 Crowe Dr,Nashville,TN,37218,-86.84179,36.181065
242,3234 Mexico Dr,Nashville,TN,37218,-86.83724,36.18128
243,184 Ivy Hill Ln,Goodlettsville,TN,37072,-86.72703,36.301506
244,1341 Goodmorning Dr,Nashville,TN,37207,-86.769455,36.275784
245,4021 Dumbarton Dr,Nashville,TN,37207,-86.77286,36.264965
246,1313 Bellshire Dr,Nashville,TN,37207,-86.77032,36.262054
247,3244 Woodstock Dr,Nashville,TN,37207,-86.776184,36.24428
248,3236 Vailview Dr,Nashville,TN,37207,-86.77101,36.236774
249,905 Churchill Crossing,Madison,TN,37115,-86.68836,36.301903
250,809 Travis Spring Dr,Madison,TN,37115,-86.68998,36.294674
251,585 Heritage Ln,Madison,TN,37115,-86.71836,36.27204
252,240 Wiley St,Madison,TN,37115,-86.70788,36.26905
253,408 Bixler Ave,Madison,TN,37115,-86.70544,36.265465
254,145 Eagan Cir,Madison,TN,37115,-86.67939,36.263596
255,2304 Franco Rd,Madison,TN,37115,-86.69692,36.26003
256,253 Warrior Rd,Madison,TN,37115,-86.68201,36.259003
257,120 Rio Vista Dr,Madison,TN,37115,-86.68089,36.263615
258,420 Walton Ln,Madison,TN,37115,-86.73606,36.239872
259,846 Florence Cir,Madison,TN,37115,-86.69474,36.249084
260,1001 Jasperson Dr,Madison,TN,37115,-86.68919,36.248432
261,1504 Meadow Bend Dr,Madison,TN,37115,-86.6774,36.248383
262,1501 Meadow Bend Dr,Madison,TN,37115,-86.67722,36.248352
263,1609 Wynnhaven Ct,Madison,TN,37115,-86.67266,36.252773
264,4207 Glynda Dr,Nashville,TN,37216,-86.73083,36.227253
265,1105 Greenland Ave,Nashville,TN,37216,-86.724945,36.22252
266,1104 Mcalpine Ave,Nashville,TN,37216,-86.72586,36.220802
267,1126 Ardee Ave,Nashville,TN,37216,-86.72633,36.219055
268,1535 Mohawk Trl,Madison,TN,37115,-86.65612,36.233456
269,1225 Joseph Ave,Nashville,TN,37207,-86.77142,36.192406
270,1213 Stainback Ave,Nashville,TN,37207,-86.764824,36.19222
271,1317 Jones Ave,Nashville,TN,37207,-86.759384,36.194836
272,1313 Mcchesney Ave,Nashville,TN,37216,-86.724525,36.21242
273,3815 Inglewood Cir S,Nashville,TN,37216,-86.71735,36.209038
274,1044 Zophi St,Nashville,TN,37216,-86.74117,36.204872
275,1118 Kirkland Ave,Nashville,TN,37216,-86.73297,36.208405
276,2931 Glenmeade Dr,Nashville,TN,37216,-86.7274,36.20233
277,2227 Berrywood Rd,Nashville,TN,37216,-86.712265,36.203465
278,1640 Chase St,Nashville,TN,37216,-86.734245,36.197792
279,1915 Upland Dr,Nashville,TN,37216,-86.714775,36.19825
280,933 West Ave,Nashville,TN,37206,-86.75114,36.19409
281,,,,,,
282,1603 Branch St,Nashville,TN,37216,-86.72594,36.195675
283,1811 Guest Dr,Nashville,TN,37216,-86.7082,36.197758
284,1102 Joseph Ave,Nashville,TN,37207,-86.77173,36.19015
285,1116 N 6Th St,Nashville,TN,37207,-86.76104,36.190834
286,1010 6Th St,Nashville,TN,37213,-86.75696,36.16259
287,,,,,,
288,726 Hart Ave,Nashville,TN,37206,-86.75593,36.183025
289,707 Hart Ave,Nashville,TN,37206,-86.755974,36.182674
290,211 Treutland St,Nashville,TN,37207,-86.76884,36.18007
291,625 Boscobel St,Nashville,TN,37206,-86.75988,36.169853
292,1027 Granada Ave,Nashville,TN,37206,-86.74833,36.18853
293,1311 Greenwood Ave,Nashville,TN,37206,-86.74232,36.190025
294,1105 N 14Th St,Nashville,TN,37206,-86.74274,36.18868
295,2322 Carter Ave,Nashville,TN,37206,-86.71989,36.188572
296,,,,,,
297,1201 Calvin Ave,Nashville,TN,37206,-86.74686,36.18147
298,800 N 14Th St,Nashville,TN,37206,-86.744606,36.18442
299,511 N 17Th St,Nashville,TN,37206,-86.738716,36.181282
300,511 N 17Th St,Nashville,TN,37206,-86.738716,36.181282
301,711 Skyview Dr,Nashville,TN,37206,-86.72908,36.183228
302,1206 Ordway Pl,Nashville,TN,37206,-86.74774,36.180424
303,204 N 18Th St,Nashville,TN,37206,-86.737816,36.178055
304,1900 Oakhill Dr,Nashville,TN,37206,-86.73581,36.175934
305,810 Riverside Dr,Nashville,TN,37206,-86.72581,36.1804
306,,,,,,
307,1518 Russell St,Nashville,TN,37206,-86.74387,36.17458
308,843 Beth Dr,Nashville,TN,37206,-86.71074,36.180748
309,1012 Dew St,Nashville,TN,37206,-86.75212,36.16633
310,1801 Sevier St,Nashville,TN,37206,-86.73947,36.16613
311,1805 Sevier St,Nashville,TN,37206,-86.739426,36.166126
312,1807 Sevier St,Nashville,TN,37206,-86.7394,36.166122
313,919 S 14Th St,Nashville,TN,37206,-86.746765,36.1642
314,921 S 14Th St,Nashville,TN,37206,-86.746765,36.16417
315,904 Livingston St,Old Hickory,TN,37138,-86.65347,36.261627
316,2305 Riverway Dr,Old Hickory,TN,37138,-86.65688,36.245796
317,2027 Waterford Dr,Old Hickory,TN,37138,-86.65562,36.24671
318,33 Lakeshore Ct,Old Hickory,TN,37138,-86.634674,36.246243
319,693 Kingsway Dr,Old Hickory,TN,37138,-86.64207,36.237663
320,3253 Lakeshore Dr,Old Hickory,TN,37138,-86.62687,36.23974
321,4260 Longfellow Dr,Nashville,TN,37214,-86.69105,36.236816
322,4517 S Trace Blvd,Old Hickory,TN,37138,-86.632164,36.221516
323,125 Dekewood Dr,Old Hickory,TN,37138,-86.623825,36.236427
324,104 Saddle Tree Dr,Hermitage,TN,37076,-86.595955,36.224365
325,4312 Woods St,Old Hickory,TN,37138,-86.62297,36.21939
326,405 Laurel Hill Dr,Old Hickory,TN,37138,-86.62589,36.219547
327,1740 Stone Hollow Ct,Hermitage,TN,37076,-86.593185,36.219013
328,4856 Shasta Dr,Old Hickory,TN,37138,-86.58939,36.22584
329,2612 Pleasant Green Rd,Nashville,TN,37214,-86.68496,36.214622
330,404 Bonnawood Dr,Hermitage,TN,37076,-86.63094,36.202446
331,229 Bonnabrook Dr,Hermitage,TN,37076,-86.63158,36.196426
332,813 Bradley Pl,Hermitage,TN,37076,-86.600075,36.19793
333,500 Scotts Creek Trl,Hermitage,TN,37076,-86.595436,36.202168
334,737 Tulip Grove Rd,Hermitage,TN,37076,-86.59166,36.202545
335,2128 Dearborn Dr,Nashville,TN,37214,-86.702736,36.17108
336,112 Blue Hills Ct,Nashville,TN,37214,-86.68763,36.173035
337,2530 Park Dr,Nashville,TN,37214,-86.67833,36.171555
338,6003 Baltic Dr,Hermitage,TN,37076,-86.62108,36.191345
339,6015 Cortez Ct,Hermitage,TN,37076,-86.619995,36.191956
340,1601 Robards Ct,Hermitage,TN,37076,-86.60211,36.183887
341,1020 Bret Ridge Dr,Hermitage,TN,37076,-86.60581,36.186985
342,153 Tulip Grove Pt,Hermitage,TN,37076,-86.59697,36.180798
343,4320 Central Valley Dr,Hermitage,TN,37076,-86.58976,36.17393
344,4221 New Hope Meadow Rd,Hermitage,TN,37076,-86.57751,36.190704
345,205 Fairway Dr,Nashville,TN,37214,-86.68221,36.167904
346,133 Spring Valley Rd,Nashville,TN,37214,-86.67402,36.1656
347,530 Wanda Dr,Nashville,TN,37210,-86.69696,36.15255
348,279 Cumberland Cir,Nashville,TN,37214,-86.66597,36.163147
349,3003 Whitland Crossing Dr,Nashville,TN,37214,-86.666916,36.154263
350,2913 Teakwood Dr,Nashville,TN,37214,-86.65774,36.157555
351,2729 Nodyne Dr,Nashville,TN,37214,-86.66974,36.152264
352,3934 Hoggett Ford Rd,Hermitage,TN,37076,-86.61805,36.17017
353,1904 Hawks Nest Dr,Hermitage,TN,37076,-86.574974,36.163395
354,5717 S New Hope Rd,Hermitage,TN,37076,-86.58636,36.155926
355,918 Connelly Dr,Nashville,TN,37217,-86.7019,36.128345
356,1210 Catina Dr,Nashville,TN,37217,-86.70257,36.126377
357,1026 Patio Dr,Nashville,TN,37214,-86.64039,36.146767
358,1024 Patio Dr,Nashville,TN,37214,-86.64045,36.14661
359,1512 Trailwood Ct,Nashville,TN,37214,-86.63663,36.13576
360,1013 Pleasant View Dr,Nashville,TN,37214,-86.63615,36.12842
361,824 Norwalk Dr,Nashville,TN,37214,-86.62921,36.148037
362,2548 Janalyn Trce,Hermitage,TN,37076,-86.58854,36.14801
363,3205 Cooks Landing Ln,Hermitage,TN,37076,-86.59096,36.141514
364,,,,,,
365,,,,,,
366,,,,,,
367,1212 Vultee Blvd,Nashville,TN,37217,-86.7031,36.123753
368,726 Robert Burns Dr,Nashville,TN,37217,-86.70906,36.120186
369,728 Robert Burns Dr,Nashville,TN,37217,-86.70896,36.120144
370,500 Dunailie Dr,Nashville,TN,37217,-86.704185,36.113873
371,1933 Deep Woods Trl,Nashville,TN,37214,-86.625534,36.1219
372,2128 Branch Oak Trl,Nashville,TN,37214,-86.61866,36.120823
373,120 Antler Ridge Cir,Nashville,TN,37214,-86.62931,36.119705
374,2140 Forge Ridge Cir,Nashville,TN,37217,-86.65852,36.09448
375,4000 Anderson Rd,Nashville,TN,37217,-86.603966,36.102676
376,2412 Bayview Dr,Nashville,TN,37217,-86.627205,36.092022
377,2858 Lake Forest Dr,Nashville,TN,37217,-86.61092,36.09079
378,525 Castlegate Dr,Nashville,TN,37217,-86.61428,36.08739
379,1012 Carla Ct,Nashville,TN,37217,-86.61221,36.083385
380,812 Billingsgate Ct,Antioch,TN,37013,-86.664055,36.076664
381,805 Bishopsgate Rd,Antioch,TN,37013,-86.659355,36.08075
382,2615 Edge O Lake Dr,Nashville,TN,37217,-86.63683,36.082027
383,,,,,,
384,,,,,,
385,,,,,,
386,1717 Bridgecrest Dr,Antioch,TN,37013,-86.65365,36.069023
387,3261 Anderson Rd,Antioch,TN,37013,-86.60759,36.077072
388,1200 Huntingboro Ct,Antioch,TN,37013,-86.59557,36.073013
389,316 School House Ct,Antioch,TN,37013,-86.60402,36.063473
390,5386 Skip Jack Dr,Antioch,TN,37013,-86.58236,36.064503
391,1025 Windsor Brook Pl,Antioch,TN,37013,-86.579185,36.06842
392,4457 Winton Dr,Antioch,TN,37013,-86.65572,36.05589
393,1382 Rural Hill Rd,Antioch,TN,37013,-86.650505,36.056313
394,5170 Hickory Hollow Pkwy,Antioch,TN,37013,-86.663414,36.04983
395,1868 Wild Oaks Ct,Antioch,TN,37013,-86.64322,36.049496
396,505 Aerie Lndg,Antioch,TN,37013,-86.58967,36.053852
397,517 Aerie Lndg,Antioch,TN,37013,-86.589745,36.05377
398,3613 Bentfield Dr,Antioch,TN,37013,-86.62135,36.04511
399,616 N Stonegate Ct,Antioch,TN,37013,-86.58165,36.039295
400,1117 Shallowbrook Trce S,Antioch,TN,37013,-86.61761,36.03222
401,5016 Sunshine Dr,Antioch,TN,37013,-86.58706,36.030933
402,5432 Hickory Woods Dr,Antioch,TN,37013,-86.5794,36.028694
403,1410 Rosa L Parks Blvd,Nashville,TN,37208,-86.79475,36.1782
404,1400 Rosa L Parks Blvd,Nashville,TN,37208,-86.79472,36.17817
405,1006 10Th Ave N,Nashville,TN,37208,-86.79402,36.17126
406,700 Church St,Nashville,TN,37203,-86.78271,36.162106
407,700 Church St,Nashville,TN,37203,-86.78271,36.162106
408,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
409,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
410,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
411,301 Demonbreun St,Nashville,TN,37201,-86.77469,36.159534
412,309 Church St,Nashville,TN,37201,-86.77782,36.164185
413,415 Church St,Nashville,TN,37219,-86.7791,36.163635
414,415 Church St,Nashville,TN,37219,-86.7791,36.163635
415,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
416,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
417,600 12Th Ave S,Nashville,TN,37203,-86.78427,36.15156
