PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
Single Family Residential,12508 60th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.996196,-85.934388,200000
Single Family Residential,7147 Blue Jay,Allendale,MI,49401,3,2,1465,12393,2015,364,100,42.9754652,-85.9630455,222000
Single Family Residential,12167 92nd Ave,Allendale,MI,49401,2,1,1001,32400,1970,66,,42.989925,-86.014873,120000
Single Family Residential,7358 Pine Valley Dr,Allendale,MI,49401,5,4,3528,26633,2005,253,,42.965181,-85.967696,235000
Single Family Residential,7461 Waterview Ln,Allendale,MI,49401,5,3.5,4369,14506,2006,309,,42.965885,-85.968282,290000
Single Family Residential,11682 Spruceview Dr,Allendale,MI,49401,4,2,2009,21387,2004,261,,42.981299,-85.930086,191000
Condo/Co-op,9021 Meadows Pointe Dr #9,Allendale Charter Township,MI,49401,,,,,,,,42.9820149,-86.009576,252500
Single Family Residential,11024 Timberline Dr,Allendale,MI,49401,4,2.5,2574,10454,2000,189,,42.969038,-85.960297,198000
Condo/Co-op,6069 Crystal Dr #3,Allendale Charter Township,MI,49401,,,,,,,,42.976533,-85.938552,135000
Single Family Residential,10945 Waterpoint Dr,Allendale,MI,49401,4,2.5,2040,18203,2016,158,38,42.967699,-85.973386,258900
Single Family Residential,8415 Buchanan St,Allendale Charter Township,MI,49401,,,,217800,,,,42.987147,-85.995765,75000
Single Family Residential,11752 Sundrop Cir #16,Allendale Charter Township,MI,49401,,,,,,,,42.982323,-85.894065,5000
Single Family Residential,10807 Timberline Dr,Allendale Charter Township,MI,49401,,,,,,,,42.965084,-85.960903,177389
Single Family Residential,12271 Highland Dr,Allendale,MI,49401,6,3.5,3214,19593,2005,232,29,42.991757,-85.959158,297000
Condo/Co-op,7402 Watermark Dr,Allendale,MI,49401,2,1.5,1484,,2016,85,230,42.9684,-85.967902,223500
Single Family Residential,6258 Timber Dr,Allendale,MI,49401,2,1.5,1584,6534,2005,198,35,42.965814,-85.9404291,154900
Single Family Residential,12174 60th Ave,Allendale Charter Township,MI,49401,,,,239580,,,,42.989763,-85.933088,210000
Condo/Co-op,11253 Whispering Creek Dr,Allendale,MI,49401,2,1,1792,,1982,94,165,42.9744909,-85.9001294,136900
Single Family Residential,10961 Lance Ave,Allendale Charter Township,MI,49401,,,,,,,,42.967561,-85.921971,196900
Single Family Residential,6630 Warner St,Allendale Charter Township,MI,49401,,,,,,,,42.993707,-85.95077,248000
Condo/Co-op,11526 Wilmington Dr,Allendale,MI,49401,2,1.5,1260,,2015,247,175,42.9806,-85.936258,214900
Condo/Co-op,6159 Pebble Dr,Allendale Charter Township,MI,49401,,,,,,,,42.9765469,-85.93784,122000
Single Family Residential,11593 84th Ave,Allendale,MI,49401,4,3.5,2989,859438,2005,149,,42.978399,-85.996625,560000
Condo/Co-op,12345 Joshua Ct #3,Allendale Charter Township,MI,49401,,,,,,,,42.993085,-85.961313,280000
Single Family Residential,7768 Margaret Ln,Allendale,MI,49401,4,3.5,4295,96703,2000,108,22,42.9913,-85.9788729,425000
Condo/Co-op,7178 Blue Jay Dr #34,Allendale Charter Township,MI,49401,,,,,,,,42.9754338,-85.9641894,245500
Single Family Residential,11017 Waterpoint Dr,Allendale,MI,49401,4,2.5,2547,14805,2016,354,38,42.968934,-85.973423,309000
Single Family Residential,10957 Waterpoint Dr,Allendale,MI,49401,4,2.5,1872,14850,2016,84,39,42.967947,-85.973391,245000
Single Family Residential,6901 Maple Brook Dr,Allendale,MI,49401,5,4,4586,39204,1968,233,,42.961459,-85.9560599,250600
Condo/Co-op,11524 Wilmington Dr,Allendale,MI,49401,2,1.5,1488,,2015,214,175,42.980569,-85.936264,252190
Single Family Residential,9420 South Cedar Dr,Allendale,MI,49401,6,3.5,3712,135036,1964,268,,42.994916,-86.020265,212000
Single Family Residential,11698 Brookridge Dr,Allendale,MI,49401,4,2,1750,8220,2007,228,8,42.981415,-85.931322,195000
Single Family Residential,11445 84th Ave,Allendale Charter Township,MI,49401,,,,48352,,,,42.97646,-85.994643,219900
Single Family Residential,7124 Pine Grove St,Allendale,MI,49401,4,2.5,2098,21780,2000,140,,42.965116,-85.961985,193250
Single Family Residential,5167 Circlewood Ln,Allendale,MI,49401,3,2.5,1960,8712,2016,66,19,42.9669049,-85.913228,199900
Single Family Residential,10776 Douglas Dr,Allendale,MI,49401,4,3,2229,13068,2006,304,,42.964554,-85.917903,206000
Single Family Residential,12644 60th Ave,Allendale,MI,49401,4,3.5,4723,212572,2006,108,,42.998651,-85.933386,490000
Single Family Residential,5150 Circleview Dr,Allendale,MI,49401,2,2,1224,6760,2015,191,,42.967265,-85.912825,185000
Condo/Co-op,12352 Joshua Ct #16,Allendale Charter Township,MI,49401,,,,,,,,42.993385,-85.960552,248000
Vacant Land,7229 BARN OWL LN #65,ALLENDALE,MI,49401,,,,,,,,42.973892,-85.96479,239900
Single Family Residential,5157 Circlewood Ln,Allendale,MI,49401,3,2.5,1560,6760,2016,114,15,42.966907,-85.913012,200000
Single Family Residential,11687 Brookridge Dr,Allendale,MI,49401,3,2.5,2009,253,2015,357,8,42.981236,-85.932009,220000
Single Family Residential,7246 Barn Owl,Allendale,MI,49401,3,2,1360,9750,2015,280,8,42.973314,-85.965158,220900
Single Family Residential,6175 Red Oak Ln,Allendale Charter Township,MI,49401,,,,,,,,42.964459,-85.937288,299000
Condo/Co-op,11537 Wilmington Dr,Allendale,MI,49401,1,1.5,1230,,2015,266,175,42.98037,-85.936584,189000
Multi-Family (2-4 Unit),5907-5909 Country View St,Allendale,MI,49401,6,2,,,1973,324,,42.971323,-85.931517,165000
Single Family Residential,6499 Henry St,Allendale Charter Township,MI,49401,,,,,,,,42.970337,-85.946474,160000
Multi-Family (2-4 Unit),6830 Warner St,Allendale,MI,49401,3,3,,47044,1927,63,,42.993918,-85.955314,147000
Single Family Residential,5291 Crestfield Ln,Allendale,MI,49401,3,2,1274,11340,2015,361,,42.960332,-85.916118,186900
Vacant Land,11637 60th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.9799859,-85.9351159,226000
Single Family Residential,10531 52nd Ave,Allendale,MI,49401,3,2,1301,17190,2016,127,,42.960156,-85.914363,204900
Single Family Residential,5290 Crestfield Ln,Allendale Charter Township,MI,49401,,,,,,,,42.959801,-85.916107,186000
Single Family Residential,6181 Kingsbury Ct,Allendale,MI,49401,5,3.5,2728,13939,2010,245,100,42.9831097,-85.9386713,244500
Single Family Residential,12079 68th Ave,Allendale Charter Township,MI,49401,,,,311018,,,,42.988485,-85.95627,80000
Single Family Residential,5909 Farmview,Allendale,MI,49401,3,2,1637,7501,2015,347,8,42.975208,-85.920924,206930
Single Family Residential,11098 56th Ave,Allendale,MI,49401,2,1,1062,16552,1959,28,,42.9704089,-85.923962,128600
Single Family Residential,5363 Windfield Dr,Allendale,MI,49401,3,2,1992,13283,2006,144,,42.961253,-85.918072,180000
Single Family Residential,11022 56th Ave,Allendale,MI,49401,3,2,1845,10625,1996,274,,42.9690721,-85.9238672,179750
Single Family Residential,12589 72nd Ave,Allendale,MI,49401,3,2,1356,43568,2015,343,,42.997512,-85.965359,168500
Single Family Residential,5825 Horizon Ln,Allendale,MI,49401,4,3,2463,17859,2008,120,,42.963601,-85.929615,225000
Single Family Residential,7980 Warner St,Allendale,MI,49401,3,2,2343,427323,1993,282,,42.99222,-85.9842029,248000
Single Family Residential,6173 Kingsbury Ct,Allendale,MI,49401,4,3,2250,12314,2010,32,,42.9831604,-85.9388918,229900
Single Family Residential,11412 Cameron Ave,Allendale,MI,49401,3,2,2180,10454,1999,357,,42.976154,-85.927172,173000
Single Family Residential,5463 Jordan St,Allendale,MI,49401,5,2.5,2550,11565,1999,122,,42.969468,-85.9207179,204000
Single Family Residential,5806 Lake Michigan Dr,Allendale Charter Township,MI,49401,,,,,,,,42.971862,-85.92948,124000
Single Family Residential,11037 Skyway Ln,Allendale Charter Township,MI,49401,,,,,,,,42.969177,-85.962311,189900
Single Family Residential,11541 60th Ave,Allendale Charter Township,MI,49401,,,,33106,,,,42.978506,-85.935068,149500
Single Family Residential,12761 60th Ave,Allendale,MI,49401,5,3.5,3180,48900,2001,234,,43.000744,-85.93579,289900
Single Family Residential,11346 Valley View Ave,Allendale,MI,49401,4,1.5,2119,13464,1966,176,,42.974851,-85.9567919,158500
Single Family Residential,11063 Timberline,Allendale,MI,49401,3,2,2027,13068,1999,95,,42.969744,-85.961085,172500
Single Family Residential,10723 68th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.9635279,-85.954008,112900
Single Family Residential,10919 Jordan Ct,Allendale,MI,49401,4,2.5,2207,11206,2002,228,,42.967213,-85.918949,200000
Single Family Residential,10901 Douglas,Allendale,MI,49401,4,2,2300,,2003,233,,42.9669079,-85.91762,195000
Single Family Residential,10995 52nd Ave,Allendale Charter Township,MI,49401,,,,62291,,,,42.968637,-85.915145,176200
Single Family Residential,6731 Scott St,Allendale,MI,49401,3,2,1125,31999,1949,312,,42.974901,-85.952432,132000
Single Family Residential,11370 68th Ave,Allendale Charter Township,MI,49401,,,,25700,,,,42.975315,-85.95374,110000
Single Family Residential,11500 60th Ave,Allendale,MI,49401,4,1.5,2075,26136,1978,340,,42.978035,-85.934051,130000
Single Family Residential,10559 Rockfield Rd,Allendale Charter Township,MI,49401,,,,,,,,42.960762,-85.915519,187000
Single Family Residential,11758 Andrews,Allendale,MI,49401,4,2.5,2610,,2013,21,8,42.981811,-85.936389,250000
Single Family Residential,10983 Lance Ave,Allendale,MI,49401,4,2,2140,10018,2007,290,,42.968339,-85.922542,205000
Single Family Residential,10913 Melanie Dr,Allendale,MI,49401,5,3.5,3008,12781,1998,141,,42.967154,-85.927608,234900
Single Family Residential,10574 52nd Ave,Allendale Charter Township,MI,49401,,,,43560,,,,42.961077,-85.913657,145000
Single Family Residential,6502 Bent Tree Dr,Allendale Charter Township,MI,49401,,,,,,,,42.97821,-85.947142,195000
Condo/Co-op,11586 Wilmington Dr #16,Allendale,MI,49401,2,2.5,2084,,2006,147,170,42.980073,-85.936578,220000
Single Family Residential,11050 Stanford Ave,Allendale,MI,49401,3,1,1530,11220,1995,84,,42.970125,-85.906951,164000
Single Family Residential,11024 Waterway Dr,Allendale Charter Township,MI,49401,,,,,,,,42.969064,-85.965169,224000
Single Family Residential,5560 Jordan St,Allendale Charter Township,MI,49401,,,,,,,,42.968915,-85.923348,166500
Single Family Residential,5911 Dewpointe Dr,Allendale Charter Township,MI,49401,,,,,,,,42.9754161,-85.9322113,146000
Single Family Residential,5255 Windfield Dr,Allendale Charter Township,MI,49401,,,,,,,,42.961264,-85.915336,173500
Single Family Residential,11243 Avery Ave,Allendale,MI,49401,4,2,1838,14810,1985,213,,42.973128,-85.951293,154900
Single Family Residential,11455 Hunters Meadow Dr,Allendale,MI,49401,3,2.5,1665,14841,1994,123,,42.976889,-85.932898,170000
Single Family Residential,11309 Brown Ave,Allendale Charter Township,MI,49401,,,,,,,,42.974189,-85.956169,137500
Single Family Residential,12528 76th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.99617,-85.974382,85000
Single Family Residential,10781 52nd Ave,Allendale Charter Township,MI,49401,,,,,,,,42.965616,-85.915992,189000
Single Family Residential,6170 Kingsbury Ct,Allendale,MI,49401,3,2.5,2134,12632,2013,60,,42.982597,-85.938571,251000
Single Family Residential,5528 Estate Rd,Allendale Charter Township,MI,49401,,,,,,,,42.969773,-85.922445,198000
Single Family Residential,10950 Skylane Ct,Allendale,MI,49401,3,2.5,3166,20043,2002,253,,42.967847,-85.962014,179900
Single Family Residential,12603 76th Ave,Allendale,MI,49401,3,2,2134,31363,1982,165,,42.997535,-85.975312,168400
Single Family Residential,10733 White Birch Dr,Allendale,MI,49401,4,3.5,2444,26136,1987,308,,42.963906,-85.955983,169900
Single Family Residential,11760 Andrews Ave,Allendale,MI,49401,3,2,1395,19166,2012,319,,42.982117,-85.936244,206000
Single Family Residential,7030 Aspen St,Allendale,MI,49401,3,3,2665,15681,1996,301,,42.966051,-85.959739,210000
Single Family Residential,10915 Lance Ave,Allendale,MI,49401,4,3,2023,13939,2005,228,,42.967211,-85.920404,215000
Single Family Residential,10861 Douglas Dr,Allendale Charter Township,MI,49401,,,,,,,,42.9662792,-85.9179437,177500
Single Family Residential,10890 Douglas Dr,Allendale Charter Township,MI,49401,,,,,,,,42.966623,-85.916883,189900
Single Family Residential,11255 Valley View Ave,Allendale,MI,49401,3,1.5,1456,13068,1975,42,,42.973199,-85.957479,180000
Single Family Residential,10815 56th Ave,Allendale,MI,49401,3,2,1448,65340,1990,2,,42.965549,-85.925319,213500
Single Family Residential,11409 Cameron Ave,Allendale,MI,49401,3,2.5,2187,9862,1999,311,,42.9761375,-85.9278738,176000
Single Family Residential,10887 Douglas Dr,Allendale,MI,49401,3,2,2040,13503,2003,340,,42.966691,-85.917702,185000
Single Family Residential,10547 52nd Ave,Allendale,MI,49401,3,2,1473,17424,2014,84,,42.960439,-85.914282,175000
Single Family Residential,11003 Jordan Ct,Allendale,MI,49401,4,2,2000,11651,2002,283,,42.968744,-85.9189619,200000
Single Family Residential,7314 Water View Ln,Allendale,MI,49401,3,1.5,1795,,2005,254,,42.967646,-85.965956,184900
Single Family Residential,6985 Pierce St,Allendale Charter Township,MI,49401,,,,,,,,42.958066,-85.958116,148000
Single Family Residential,11482 Prairie Ave,Allendale,MI,49401,3,2,1738,10454,1996,346,,42.977482,-85.929566,155000
Single Family Residential,6756 Scott St,Allendale,MI,49401,2,1,1088,10209,1951,177,,42.974269,-85.953021,112000
Single Family Residential,6545 Pierce St,Allendale Charter Township,MI,49401,,,,,,,,42.958207,-85.947247,150000
Single Family Residential,10986 Douglas Dr,Allendale Charter Township,MI,49401,,,,,,,,42.968489,-85.916645,195000
Single Family Residential,9073 Warner St,Allendale,MI,49401,4,2.5,1620,119790,1800,207,,42.99426,-86.0112539,180000
Single Family Residential,11011 Skyway Ln,Allendale,MI,49401,3,2,2092,,1999,100,,42.968688,-85.962281,188500
Single Family Residential,11480 Eagle Nest Ct,Allendale,MI,49401,3,2,1767,12320,1995,308,,42.977478,-85.930863,182900
Single Family Residential,11080 Timberline Dr,Allendale,MI,49401,3,2,1860,,2000,269,,42.969965,-85.960334,183000
Single Family Residential,11013 Pinecreek Ct,Allendale Charter Township,MI,49401,,,,,,,,42.968598,-85.963507,188000
Single Family Residential,5916 Country View Dr,Allendale Charter Township,MI,49401,,,,,,,,42.970754,-85.932082,149500
Single Family Residential,11015 Waterway Dr,Allendale,MI,49401,3,2.5,2310,13068,2005,245,,42.968735,-85.965818,190000
Single Family Residential,11393 68th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.975737,-85.954536,113000
Single Family Residential,11394 Rosewood Ave,Allendale Charter Township,MI,49401,,,,,,,,42.97566,-85.928386,174900
Single Family Residential,11025 56th Ave,Allendale,MI,49401,4,3,1800,16499,1992,108,,42.969146,-85.92466,198000
Single Family Residential,7705 Lake Michigan Dr,Allendale Charter Township,MI,49401,,,,108900,,,,42.973059,-85.976723,220000
Single Family Residential,11695 40th Ave,Allendale,MI,49401,4,1,1718,92347,1908,78,,42.981863,-85.885449,148900
Single Family Residential,11380 84th Ave #24,Allendale,MI,49401,5,3.5,3517,21780,2012,63,120,42.9753307,-85.9939525,370000
Single Family Residential,11036 60th Ave,Allendale,MI,49401,3,1,1605,14679,1968,92,,42.968948,-85.933743,155000
Single Family Residential,11328 60th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.974543,-85.933642,187150
Single Family Residential,10852 Pine Valley Ct,Allendale Charter Township,MI,49401,,,,,,,,42.965924,-85.965975,215000
Single Family Residential,11464 Hunters Meadow Dr,Allendale,MI,49401,5,2,2743,11074,1994,192,,42.977046,-85.932118,180000
Single Family Residential,7220 Timbercreek Dr,Allendale,MI,49401,4,2.5,2292,10480,2002,274,,42.966941,-85.962714,198000
Single Family Residential,5302 Crestfield,Allendale,MI,49401,3,2,1359,10454,2014,204,,42.959797,-85.916405,214000
Single Family Residential,5572 Estate Rd,Allendale,MI,49401,4,3,2225,9505,1996,156,,42.969693,-85.9234649,186158
Single Family Residential,11361 Brown Ave,Allendale,MI,49401,3,1.5,2432,24500,1955,231,,42.975342,-85.956211,150000
Single Family Residential,6595 Pierce St,Allendale,MI,49401,4,2.5,2524,31363,1994,149,,42.958194,-85.9483769,235000
Single Family Residential,11058 Radcliff Dr,Allendale,MI,49401,3,2,2200,11761,1967,191,,42.970139,-85.908167,163400
Single Family Residential,7138 Timbercreek Dr,Allendale Charter Township,MI,49401,,,,,,,,42.968185,-85.962193,186500
Single Family Residential,5621 Estate Rd,Allendale,MI,49401,4,2,2009,18295,1965,98,,42.970251,-85.925174,155000
Single Family Residential,10961 Creekside Dr,Allendale,MI,49401,4,2,2178,11325,1996,46,,42.967815,-85.959785,204000
Single Family Residential,11284 Valley View Ave,Allendale,MI,49401,4,2,1670,14374,1967,109,,42.973749,-85.956753,167000
Single Family Residential,5820 Larkspur Ln,Allendale,MI,49401,3,2,1979,16496,1965,287,,42.973456,-85.929852,137000
Single Family Residential,7234 Pine Valley Dr,Allendale,MI,49401,5,3.5,3236,16988,2001,304,,42.965899,-85.964392,247500
Single Family Residential,12032 60th Ave,Allendale,MI,49401,3,2,2010,36155,1972,361,,42.9876239,-85.934199,170000
Single Family Residential,11710 78th Ave,Allendale Charter Township,MI,49401,,,,,,,,42.981313,-85.978948,139900
Condo/Co-op,11371 River Ridge Dr #14,Allendale Charter Township,MI,49401,,,,,,,,42.975302,-85.884285,109000
Single Family Residential,7032 Sunset Dr,Allendale Charter Township,MI,49401,,,,,,,,42.965126,-85.959552,190000
Single Family Residential,5719 Maryeliz Dr,Allendale,MI,49401,5,2.5,2200,23958,1999,256,,42.967859,-85.927064,179500
Single Family Residential,11036 56th Ave,Allendale,MI,49401,3,2.5,1433,10628,1996,158,,42.969318,-85.923837,170000
Single Family Residential,10823 Douglas Dr,Allendale Charter Township,MI,49401,,,,,,,,42.965647,-85.91839,183000
Single Family Residential,11408 56th Ave,Allendale,MI,49401,3,1,1132,54014,1940,213,,42.9762,-85.92382,112850
Single Family Residential,6843 Joal St,Allendale,MI,49401,5,3,2384,14374,1995,311,,42.967428,-85.954913,180400
Single Family Residential,7187 Sassafras Ct,Allendale Charter Township,MI,49401,,,,,,,,42.989904,-85.964041,305000
Single Family Residential,11166 56th Ave,Allendale Charter Township,MI,49401,,,,10890,,,,42.971706,-85.924003,139900
Single Family Residential,10998 Douglas Dr,Allendale,MI,49401,2,2,1377,13163,2003,91,,42.968711,-85.916845,182000
Single Family Residential,11475 Eagle Nest Ct,Allendale,MI,49401,3,2,1650,10018,1995,175,,42.977246,-85.931625,181000
Condo/Co-op,6111 Pebble Dr #33,Allendale,MI,49401,2,2,1876,,1994,21,150,42.976011,-85.938171,147000
Single Family Residential,11160 Northgate Ave,Allendale,MI,49401,3,2.5,2497,12310,1966,276,,42.971587,-85.92704,188900
